#     charge   sigma   epsilon
#Graphene
C91  -0.000001 3.39967 0.359824
C92  -0.000089 3.39967 0.359824
C93  -0.001252 3.39967 0.359824
C94  -0.015867 3.39967 0.359824
C95  -0.046364 3.39967 0.359824
C96  -0.046364 3.39967 0.359824
C97  -0.015867 3.39967 0.359824
C98  -0.001252 3.39967 0.359824
C99  -0.000089 3.39967 0.359824
C100 -0.000001 3.39967 0.359824
C101 -0.000000 3.39967 0.359824
C102 -0.000000 3.39967 0.359824
C103 -0.000000 3.39967 0.359824
C104 -0.000000 3.39967 0.359824
C105 -0.000000 3.39967 0.359824
C106 -0.000000 3.39967 0.359824
C107 -0.000000 3.39967 0.359824
C108 -0.000000 3.39967 0.359824
C109 -0.000000 3.39967 0.359824
C110 -0.000000 3.39967 0.359824
C111 -0.000000 3.39967 0.359824
C112 -0.000000 3.39967 0.359824
C113 -0.000000 3.39967 0.359824
C114 -0.000000 3.39967 0.359824
C115 -0.000000 3.39967 0.359824
C116 -0.000000 3.39967 0.359824
C117 -0.000000 3.39967 0.359824
C118 -0.000000 3.39967 0.359824
C119 -0.000000 3.39967 0.359824
C120 -0.000000 3.39967 0.359824
C121 -0.000000 3.39967 0.359824
C122 -0.000000 3.39967 0.359824
C123 -0.000001 3.39967 0.359824
C124 -0.000089 3.39967 0.359824
C125 -0.001252 3.39967 0.359824
C126 -0.015867 3.39967 0.359824
C127 -0.046364 3.39967 0.359824
C128 -0.046364 3.39967 0.359824
C129 -0.015867 3.39967 0.359824
C130 -0.001252 3.39967 0.359824
C131 -0.000089 3.39967 0.359824
C132 -0.000001 3.39967 0.359824
C133 -0.000000 3.39967 0.359824
C134 -0.000000 3.39967 0.359824
C135 -0.000000 3.39967 0.359824
C136 -0.000000 3.39967 0.359824
C137 -0.000000 3.39967 0.359824
C138 -0.000000 3.39967 0.359824
C139  0.000000 3.39967 0.359824
C140  0.000000 3.39967 0.359824
C141 -0.000000 3.39967 0.359824
C142 -0.000000 3.39967 0.359824
C143  0.000000 3.39967 0.359824
C144  0.000000 3.39967 0.359824
C145 -0.000000 3.39967 0.359824
C146 -0.000000 3.39967 0.359824
C147  0.000000 3.39967 0.359824
C148  0.000000 3.39967 0.359824
C149 -0.000000 3.39967 0.359824
C150 -0.000000 3.39967 0.359824
C151 -0.000000 3.39967 0.359824
C152 -0.000000 3.39967 0.359824
C153 -0.000000 3.39967 0.359824
C154 -0.000000 3.39967 0.359824
C155 -0.000001 3.39967 0.359824
C156 -0.000089 3.39967 0.359824
C157 -0.001252 3.39967 0.359824
C158 -0.015867 3.39967 0.359824
C159 -0.046364 3.39967 0.359824
C160 -0.046364 3.39967 0.359824
C161 -0.015867 3.39967 0.359824
C162 -0.001252 3.39967 0.359824
C163 -0.000089 3.39967 0.359824
C164 -0.000001 3.39967 0.359824
C165 -0.000000 3.39967 0.359824
C166 -0.000000 3.39967 0.359824
C167 -0.000000 3.39967 0.359824
C168 -0.000000 3.39967 0.359824
C169 -0.000000 3.39967 0.359824
C170  0.000000 3.39967 0.359824
C171  0.000000 3.39967 0.359824
C172  0.000000 3.39967 0.359824
C173  0.000000 3.39967 0.359824
C174  0.000000 3.39967 0.359824
C175  0.000000 3.39967 0.359824
C176  0.000000 3.39967 0.359824
C177  0.000000 3.39967 0.359824
C178  0.000000 3.39967 0.359824
C179  0.000000 3.39967 0.359824
C180  0.000000 3.39967 0.359824
C181  0.000000 3.39967 0.359824
C182 -0.000000 3.39967 0.359824
C183 -0.000000 3.39967 0.359824
C184 -0.000000 3.39967 0.359824
C185 -0.000000 3.39967 0.359824
C186 -0.000000 3.39967 0.359824
C187 -0.000001 3.39967 0.359824
C188 -0.000089 3.39967 0.359824
C189 -0.001252 3.39967 0.359824
C190 -0.015867 3.39967 0.359824
C191 -0.046364 3.39967 0.359824
C192 -0.046364 3.39967 0.359824
C193 -0.015867 3.39967 0.359824
C194 -0.001252 3.39967 0.359824
C195 -0.000089 3.39967 0.359824
C196 -0.000001 3.39967 0.359824
C197 -0.000000 3.39967 0.359824
C198 -0.000000 3.39967 0.359824
C199 -0.000000 3.39967 0.359824
C200 -0.000000 3.39967 0.359824
C201 -0.000000 3.39967 0.359824
C202  0.000000 3.39967 0.359824
C203  0.000000 3.39967 0.359824
C204  0.000000 3.39967 0.359824
C205  0.000000 3.39967 0.359824
C206  0.000000 3.39967 0.359824
C207  0.000000 3.39967 0.359824
C208  0.000000 3.39967 0.359824
C209  0.000000 3.39967 0.359824
C210  0.000000 3.39967 0.359824
C211  0.000000 3.39967 0.359824
C212  0.000000 3.39967 0.359824
C213  0.000000 3.39967 0.359824
C214 -0.000000 3.39967 0.359824
